					+------------------------------------------------+
					|              THONG TIN HOA DON                 |
					| Ma nhan vien: AD0001                           |
					| Ma khach hang: KH0179                          |
					| Ngay tao hoa don: 15:24  22/12/2022            |
					| Ngay xuat hoa don: 15:51  22/12/2022           |
					+------------------------------------------------+
					Don hang nay bao gom: 1 san pham
			+-----+-------------+-------------------------------+------+---------+----------+--------------+------------+
			| STT | Ma san pham | Ten san pham                  | Size | Don gia | So luong | Giam gia (%) | Thanh tien |
			+-----+-------------+-------------------------------+------+---------+----------+--------------+------------+
			| 1   | A0108       | Ao world cup 2022 - Argentina | S    | 140000  | 2        | 2            | 274400     |
			+-----+-------------+-------------------------------+------+---------+----------+--------------+------------+
					
		THANH TIEN: 274400
